ID,commune,sol_simple,pluie,taux_moyen,taux_med,pente_moy,tri_moy,tpi_moy,rug_moy,omb_moy,expo_moy,X,Y,nb_mesures,histo_banane,longitude,latitude,niveau_risque,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve,risque_95
63347,TRINITE(LA),Nitisol,2000-3000,0.0019,0.0019,14.510792301043585,2.8483274594211334,-0.4141805016763192,9.02978501267644,155.154584284776,154.19377213726733,718567.7700600788,1630356.221906155,6,,-60.96977456996583,14.73820628270328,modéré,153.0,0.3651392156862745,0.0048,0.0,False
63348,TRINITE(LA),Urban area,2000-3000,0.0005,0.0005,17.121995330372915,3.454768770524894,0.09267917463084986,10.96285596800072,151.04026612960575,143.7697046149657,718597.2950312947,1630308.737582476,13,,-60.969504418690356,14.73777482137051,modéré,153.0,0.3651392156862745,0.0048,0.0,False
63349,DUCOS,Urban area,2000-3000,0.0019,0.0019,8.701153875638129,1.7616484680392819,0.3041213274812326,6.0749033419545935,194.9848573433166,312.430412916983,718546.8221454038,1615358.6780682001,5,,-60.97121830460155,14.602693441614436,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63350,DUCOS,Vertisol,1500-2000,0.0005,0.0005,17.958889020727344,3.9762095600696536,-0.7579744742941766,11.370865855610196,188.41476602455668,67.28171479024219,721406.1576840596,1613791.2227880761,19,1,-60.944818558135076,14.588298144396289,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63351,DUCOS,Ferralsol,1500-2000,0.0005,0.0005,6.009490817450251,1.2611150355454728,0.0969976628619483,5.295411266083931,184.90512633482882,257.7901728404073,720371.6865385973,1612773.243107347,10,1,-60.95450150491383,14.579184213055198,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63352,DUCOS,Ferralsol,1500-2000,0.0005,0.0005,7.038541614701854,1.4458754793647823,0.437341735886087,4.978441592969389,174.91670060509244,223.32686353156765,720358.662873151,1612722.5925598755,9,1,-60.95462656066652,14.578727604636304,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63353,TRINITE(LA),Ferralsol,2000-3000,0.0005,0.0005,25.41724252407219,5.573330361596867,-1.7999645758261287,19.373278972950313,212.71546731594137,329.136060482141,719887.3469869115,1629907.5431240762,8,,-60.95756065681165,14.734044321453943,modéré,153.0,0.3651392156862745,0.0048,0.0,False
63354,TRINITE(LA),Ferralsol,2000-3000,0.1799,0.1799,36.31989910146005,7.518378873416382,0.11402822887049002,25.74629819511965,138.141986296959,76.29639818599072,716827.7386096772,1631635.8898147375,4,1,-60.985823818797854,14.74991034798048,modéré,153.0,0.3651392156862745,0.0048,0.0,False
63355,LAMENTIN(LE),Ferralsol,2000-3000,0.0698,0.0698,12.486559116615561,2.499261841943512,-0.0174330410719018,8.289138662168572,182.1326624551292,234.8765795909112,718026.624030393,1620471.986120352,5,1,-60.97562170901827,14.64893843884785,modéré,272.0,0.20619485294117648,0.00165,0.0,False
63356,LAMENTIN(LE),Ferralsol,2000-3000,0.0124,0.0124,10.276999217385285,2.017243573895569,0.8242655600511879,7.182703796250171,173.39161896914732,205.24073058086023,718049.0245371887,1620517.2725003767,9,1,-60.97541005528227,14.649345829280234,modéré,272.0,0.20619485294117648,0.00165,0.0,False
